ABC,MCMC,SMC
0.239856,0.424453,0.327411
0.575404,0.42441,0.332361
0.459191,0.422365,0.327062
746.939933,0.45855,0.335813
0.474645,0.431615,0.330642
0.311078,0.427588,0.335426
0.39473,0.439379,0.385765
0.25477,0.427637,0.438371
0.438356,0.499664,0.350915
0.31307,0.454107,0.338222
0.254877,0.432968,0.330992
0.389386,0.431538,0.363906
0.36196,0.442379,0.343788
0.339946,0.434188,0.385369
0.399529,0.435053,0.383936
0.403132,0.448535,0.348408
2.536869,0.435038,0.342333
0.586196,0.577814,0.348137
0.325102,0.431175,0.338879
0.285548,0.432862,0.335748
0.334748,0.440217,0.337317
0.364019,0.461912,0.364451
0.411085,0.459645,0.336463
0.272414,0.422856,0.328881
0.581121,0.430263,0.348736
0.341507,0.432156,0.344387
0.290137,0.429222,0.42568
0.31044,0.465948,0.345073
0.245966,0.428836,0.329059
0.522804,0.441838,0.348542
0.336734,0.43271,0.336183
0.204341,0.426575,0.329207
0.234685,0.428312,0.334453
0.265253,0.426057,0.342503
0.782774,0.432336,0.333444
0.69288,0.430138,0.33961
0.221966,0.430198,0.327678
0.208954,0.426183,0.332995
0.547359,0.426635,0.366003
0.46819,0.426137,0.336482
0.277169,0.425988,0.352412
3.509923,0.427477,0.334584
0.462671,0.426563,0.344672
0.227926,0.428508,0.337718
0.237954,0.431839,0.330225
0.338055,0.42872,0.337861
0.444573,0.429688,0.361705
0.482179,0.430849,0.334358
0.383719,0.429009,0.344237
0.235305,0.42652,0.326592
0.267448,0.429185,0.330321
0.613558,0.425688,0.345888
0.246751,0.426005,0.333192
0.260573,0.426488,0.328196
0.189225,0.425008,0.368304
0.230035,0.423989,0.379669
0.48396,0.429497,0.332404
0.3671,0.424658,0.337244
0.281611,0.429125,0.324245
0.926385,0.427719,0.334204
0.21452,0.424606,0.368442
0.393159,0.42478,0.408479
0.256623,0.426089,0.332656
0.458416,0.427186,0.333215
0.358398,0.430338,0.334844
0.25248,0.429558,0.331367
0.262302,0.426616,0.330054
0.28642,0.42819,0.333865
0.580987,0.424682,0.329869
0.318215,0.426752,0.340096
0.371769,0.429543,0.347824
0.534106,0.42443,0.329838
0.330154,0.425598,0.330478
0.276448,0.423879,0.336313
0.271657,0.422983,0.334806
0.277935,0.425288,0.329421
0.344274,0.426089,0.330466
0.237429,0.426209,0.326147
45.017715,0.426705,0.324889
0.3104,0.425715,0.345475
0.389751,0.425735,0.343379
0.304266,0.427774,0.336245
0.261293,0.428591,0.328997
0.276397,0.428166,0.334309
0.272543,0.427738,0.335179
0.232814,0.424341,0.333889
0.973536,0.428019,0.3624
0.314604,0.430794,0.337597
0.482566,0.426041,0.328796
0.282464,0.426254,0.33169
0.29449,0.427732,0.328687
0.237646,0.427675,0.360646
0.439755,0.427775,0.333896
0.280177,0.426687,0.41272
0.215958,0.424584,0.333863
1.162142,0.425951,0.328302
0.332777,0.427021,0.333577
0.226359,0.424785,0.332112
0.2919,0.426386,0.334001
0.425482,0.428907,0.331692
0.345977,0.430093,0.329361
0.231815,0.426237,0.336536
0.402822,0.430032,0.333637
0.291713,0.428833,0.338051
0.26706,0.426356,0.332236
